City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kahului,20.8947,-156.47,25.47,80,20,3.6,US,2023-03-30 18:29:33
1,saint george,37.1041,-113.5841,10.53,51,20,5.66,US,2023-03-30 18:29:34
2,saint-philippe,-21.3585,55.7679,26.77,89,93,4.48,RE,2023-03-30 18:29:34
3,alihe,50.5667,123.7167,1.27,82,1,0.91,CN,2023-03-30 18:29:34
4,hami,42.8,93.45,13.63,14,0,4.75,CN,2023-03-30 18:29:35
5,punta arenas,-53.15,-70.9167,9.06,49,20,11.32,CL,2023-03-30 18:29:35
6,mataura,-46.1927,168.8643,4.92,99,19,1.46,NZ,2023-03-30 18:29:35
7,port elizabeth,-33.918,25.5701,17.16,83,0,5.14,ZA,2023-03-30 18:29:36
8,hilo,19.7297,-155.09,25.16,95,100,2.57,US,2023-03-30 18:29:36
9,alice springs,-23.7,133.8833,17.75,88,77,4.12,AU,2023-03-30 18:25:08
10,pevek,69.7008,170.3133,-23.63,97,90,2.89,RU,2023-03-30 18:29:36
11,half moon bay,37.4636,-122.4286,13.01,72,0,2.57,US,2023-03-30 18:29:37
12,asau,46.4333,26.4,6.51,61,45,2.73,RO,2023-03-30 18:29:37
13,blagoyevo,63.3667,47.9167,2.15,91,100,5.19,RU,2023-03-30 18:29:37
14,new norfolk,-42.7826,147.0587,13.29,81,99,0.45,AU,2023-03-30 18:29:38
15,provideniya,64.3833,-173.3,-9.16,86,99,3.74,RU,2023-03-30 18:29:38
16,rikitea,-23.1203,-134.9692,25.98,71,96,0.96,PF,2023-03-30 18:29:38
17,carnarvon,-24.8667,113.6333,23.79,72,100,4.64,AU,2023-03-30 18:29:38
18,bluff,-46.6,168.3333,8.56,90,16,4.84,NZ,2023-03-30 18:29:38
19,henderson,36.0397,-114.9819,14.35,39,0,8.23,US,2023-03-30 18:25:38
20,kapaa,22.0752,-159.319,23.99,92,33,1.34,US,2023-03-30 18:29:39
21,hithadhoo,-0.6,73.0833,28.29,72,2,3.8,MV,2023-03-30 18:29:39
22,coquimbo,-29.9533,-71.3436,19.85,68,0,7.72,CL,2023-03-30 18:28:39
23,hermanus,-34.4187,19.2345,14.33,85,30,2.35,ZA,2023-03-30 18:25:46
24,dikson,73.5069,80.5464,-25.21,100,95,2.79,RU,2023-03-30 18:29:40
25,nome,64.5011,-165.4064,-1.61,93,100,5.14,US,2023-03-30 18:29:40
26,kathmandu,27.7167,85.3167,16.58,66,40,2.06,NP,2023-03-30 18:29:40
27,yellowknife,62.456,-114.3525,-13.71,66,75,1.03,CA,2023-03-30 18:29:41
28,skibbereen,51.55,-9.2667,10.06,94,100,10.13,IE,2023-03-30 18:29:41
29,whitianga,-36.8333,175.7,11.02,85,2,1.81,NZ,2023-03-30 18:29:41
